Gender,Religion,Age,Food Preference,Parents Status,Relationship Status,Siblings,Position as Child,Employment Status,Socializing Skill ,"If today had a theme song, what genre would it be?  ",How would a close friend describe you right now?,What's the last fun thing you did?,How's your sleep been lately?,Free hour: How would you spend it?  ,How's your patience been lately,How supported do you feel?,Do you feel trapped in procrastination?,Is anything bothering you?,Do you fear criticism?,How would you react to criticism in your own world?,How was your performance in the last challenge you faced?,Is there anything you fear to loose?,A superpower you'd enjoy today,Are you grateful for anything?,How can I support you?,Do you feel like you are improving as a person?,Are you questioning your existence?,"Your screen time (consider a whole day, in hours)",App you used the most (based on the previous question),"Any addiction? If, specify","Are you diagnosed with any disorder? If, specify",Are you able to understand your feelings?,Magically solve one problem. What is it?,"Final, how much would you love if there was an app to identify and manage all these feelings?",Mood,Hour,DayOfWeek
Male,Atheist,19-25,Vegetarian,Married,Committed,2,Youngest Child,Student,1,R&B,Needs a hug,Something that made me really happy,4,Spend time with loved ones,5,5,No,A little stress,Yes,Revenge,Struggled hard,Yes,Time travel,Yes,Just listen,Yes,No,10,Social Media,Always calling with bunsie,,Yes,Money woes,5,Happy,0,6
Female,Atheist ,18-Oct,Vegetarian,Married,Committed,2,Oldest Child,Student,1,Lo-Fi,They're glowing,Something that made me really happy,4,Spend time with loved ones,2,5,Yes,A big problem,Yes,Will create a trauma,Struggled hard,Yes,Invisibility,Yes,Give space,Maybe,No,9.5 hours,Social Media,my boyfriend ,social phobia,No,Mental health,5,Happy,0,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Youngest Child,Student,3,Heavy Metal,Off today,"Fun, but not fulfilling",2,Netflix/Chill,3,3,Yes,Nothing,No,Will create a trauma,Struggled hard,No,Invisibility,No,Give space,No,No,Good ,Games,No,No,No,Work/School stress,5,Depressed,11,6
Female,Hinduism,26-40,Vegetarian,Married,Married/Engaged,1,Oldest Child,Full-Time Employed,3,Spiritual,A little quiet,"Fun, but not fulfilling",3,Netflix/Chill,3,3,Sometimes,A little stress,Sometimes,Let it go,Nailed it,Yes,Mind reading,Yes,Just listen,Yes,Sometimes,4-Mar,Social Media,Social media for now,No,Sometimes,Mental health,5,Anxious,13,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Full-Time Employed,3,Lo-Fi,They're glowing,I don't remember,3,Netflix/Chill,3,3,No,Nothing,No,Let it go,Struggled hard,No,Time travel,No,Give space,Yes,No,9hrs,Games,No,No,Yes,Work/School stress,5,Depressed,13,6
Female,Hinduism,19-25,Vegetarian,Married,Committed,1,Youngest Child,Part-Time Employed,3,R&B,They're glowing,Something that made me really happy,5,Spend time with loved ones,2,5,Sometimes,A little stress,Sometimes,Let it go,Struggled hard,Yes,Time travel,Yes,Just listen,Yes,No,6,Expo,No,No,Sometimes,Money woes,5,Happy,13,6
Male,Hinduism,19-25,Non-Vegetarian,Married,Single,2,Middle Child,Full-Time Employed,5,Lo-Fi,We’re lucky to have someone as committed and talented as you .,Something that made me really happy,4,Spend time with loved ones,5,4,Sometimes,Nothing,No,Let it go,Nailed it,Yes,Control other's mind,Yes,Just listen,Yes,No,I spend my whole day with my friends ,Social Media,Money,no,Yes,Relationship thing,5,Happy,13,6
Male,Hinduism,19-25,Vegetarian,Married,Committed,1,Youngest Child,Student,2,R&B,They're glowing,Something that made me really happy,2,Netflix/Chill,4,4,Yes,Don't wanna talk,Sometimes,Let it go,Struggled hard,Yes,Time travel,Yes,Give space,Yes,Sometimes,6 to 7,Reading or Music,music if it counts ,no,Sometimes,Career,4,Happy,13,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Youngest Child,Student,3,Spiritual,A little quiet,"Fun, but not fulfilling",5,Netflix/Chill,3,1,Sometimes,Don't wanna talk,Yes,Will work on it,Nailed it,Yes,Mind reading,Yes,,Yes,Sometimes,5,Reading or Music,,,Sometimes,,1,Happy,13,6
Female,Sikhism,19-25,Non-Vegetarian,Married,Committed,1,Youngest Child,Student,3,Pop,A little quiet,I don't remember,4,Netflix/Chill,3,3,Sometimes,A little stress,Sometimes,Will work on it,Nailed it,Yes,Time travel,Yes,Give space,Maybe,Sometimes,5-6 hours ,Social Media,,,Yes,Work/School stress,3,Happy,14,6
